Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XXL,Intent_Recognition,BBL,Correct,1,0,0.9365079402923584,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Correct,2,0,0.9321789145469666,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Correct,3,0,0.939393937587738,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Correct,4,0,0.9350649118423462,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Correct,5,0,0.9365079402923584,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Default,1,0,0.9466089606285095,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Incorrect,1,0,0.9336219429969788,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Incorrect,2,0,0.9379509091377258,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Incorrect,3,0,0.9292929172515869,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Incorrect,4,0,0.939393937587738,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Incorrect,5,0,0.9148629307746887,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Negation,1,0,0.27417027950286865,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Negation,2,0,0.331890344619751,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Negation,3,0,0.18903319537639618,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Negation,4,0,0.2539682686328888,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Negation,5,0,0.350649356842041,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Random,1,0,0.3968254029750824,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Random,2,0,0.34632036089897156,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Random,3,0,0.33044731616973877,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Random,4,0,0.46464645862579346,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Random,5,0,0.49494948983192444,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Unobserved,1,0,0.939393937587738,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Unobserved,2,0,0.9365079402923584,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Unobserved,3,0,0.9451659321784973,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Unobserved,4,0,0.9494949579238892,Logits,True
Flan-T5-XXL,Intent_Recognition,BBL,Unobserved,5,0,0.9350649118423462,Logits,True
